"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SMC_myoFibroblast","Mac-Cycling","LAMA4","CD44",0.0531862396718359,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Mac-FOLR2-LYVE1-resident","LAMA4","CD44",0.0128804949514045,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-FOLR2-LYVE1-resident","LAMA4","CD44",0.0094176003202128,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","Mac-FOLR2-LYVE1-resident","LAMA4","CD44",0.0165261137414692,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Mac-OLFML3-CX3CR1-resident","LAMA4","CD44",0.0392554417794456,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-OLFML3-CX3CR1-resident","LAMA4","CD44",0.0289093636486118,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","Mac-OLFML3-CX3CR1-resident","LAMA4","CD44",0.0499880385307758,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Mac-TNF-CCL4-inflammatory","LAMA4","CD44",0.0488127930591814,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mac-TNF-CCL4-inflammatory","LAMA4","CD44",0.0360422973764779,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","Mac-TNF-CCL4-inflammatory","LAMA4","CD44",0.06198980940619,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Mono-FCN1-S100A8-S100A9","LAMA4","CD44",0.0703536783876612,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Mono-FCN1-S100A8-S100A9","LAMA4","CD44",0.0522572275092979,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","Mono-FCN1-S100A8-S100A9","LAMA4","CD44",0.0888027734144773,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelia","Myeloid","LAMA4","CD44",0.0214681323577733,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Myeloid","LAMA4","CD44",0.0157332674932692,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SMC_myoFibroblast","Myeloid","LAMA4","CD44",0.0274766889184903,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
