"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.77395496460279e-34,1.69564666751103,0.538,0.249,3.95964487648988e-30,"8","ISG20"
2.07941482809528e-34,1.60684376639423,0.37,0.13,4.64146183779148e-30,"8","LILRA2"
2.45581720744581e-34,2.00352830534626,0.304,0.094,5.48162958873979e-30,"8","S1PR4"
2.68131027830452e-34,0.733030794582438,0.943,0.75,5.98495267220351e-30,"8","ARPC5"
3.01976698038038e-34,0.752974362943646,0.918,0.693,6.74042187690705e-30,"8","SERP1"
3.73769272505118e-34,0.620761902444249,0.972,0.799,8.34290393158674e-30,"8","PFN1"
5.42281914113001e-34,0.712981454892322,0.93,0.729,1.21042746049163e-29,"8","MYL12B"
6.97632645478604e-34,1.09988647048642,0.652,0.365,1.55718582797279e-29,"8","NMI"
1.65854491080355e-33,0.694145009980987,0.915,0.683,3.70203809540459e-29,"8","GNG5"
3.29408019336173e-33,0.674497181697461,0.981,0.813,7.35271639960273e-29,"8","PFDN5"
4.34704519660957e-33,0.861403675621668,0.867,0.606,9.70303958335223e-29,"8","GMFG"
5.64181393229502e-33,1.42180179051667,0.715,0.444,1.25930928782757e-28,"8","SNX10"
2.33745938612451e-32,1.08199856150585,0.804,0.521,5.21744309576852e-28,"8","PTPN6"
6.69500414556204e-32,1.22809023136339,0.693,0.414,1.4943918753309e-27,"8","VSIR"
8.32691927718942e-32,1.43270685004636,0.386,0.144,1.85865165186145e-27,"8","KDM1B"
9.16536082035101e-32,0.692280537236215,0.94,0.733,2.04580018871055e-27,"8","CLIC1"
1.10400837614985e-31,0.680572815227861,0.953,0.731,2.46425709640408e-27,"8","BRI3"
1.28473594772949e-31,1.17040936638033,0.693,0.411,2.867659108927e-27,"8","HCK"
1.72986564680586e-31,1.47305485059986,0.547,0.278,3.86123311023537e-27,"8","CNIH4"
1.94159100391563e-31,0.805807077960456,0.902,0.648,4.33382527984009e-27,"8","MSN"
1.98779183310513e-31,0.578753604193433,0.984,0.891,4.43695015067397e-27,"8","HLA-C"
2.27521983833477e-31,1.91306357891438,0.247,0.069,5.07851820114703e-27,"8","LILRA6"
2.66381592469182e-31,1.47380024798475,0.611,0.33,5.94590352550462e-27,"8","LYST"
2.92539443963719e-31,0.432747746598511,1,0.97,6.52977292871418e-27,"8","RPL28"
3.48729730025167e-31,0.943098532904619,0.741,0.438,7.78399630389175e-27,"8","GBP2"
3.5924954927709e-31,1.38487215544218,0.43,0.176,8.01880918941393e-27,"8","DDX58"
4.05578882444821e-31,0.939171131740599,0.677,0.389,9.05292623505085e-27,"8","IRF7"
4.05779940487353e-31,1.23701812413118,0.677,0.38,9.0574140516182e-27,"8","LILRB1"
5.4772272311689e-31,0.69507138115784,0.956,0.77,1.22257189026921e-26,"8","ALDOA"
7.93251037706876e-31,1.64232809594382,0.38,0.143,1.77061564126552e-26,"8","IFITM1"
8.53881375353242e-31,1.21116222967219,0.589,0.314,1.90594861792597e-26,"8","IFI35"
8.95558118384785e-31,1.1679576861458,0.557,0.272,1.99897527604668e-26,"8","PRKCB"
9.32803680305797e-31,1.0856082977089,0.652,0.347,2.08211109481057e-26,"8","LTA4H"
