"stage","pathway_name","source","target","n_LR_pairs","summed_probability"
"Advanced","CCL","Mac-Cycling","Mono-FCN1-S100A8-S100A9",4,0.0825765319910149
"Early","CCL","Mac-Cycling","Mono-FCN1-S100A8-S100A9",6,0.111738018662088
"Non-malignant","CCL","Mac-Cycling","Mono-FCN1-S100A8-S100A9",2,0.0234419373606794
"Non-malignant","CCL","Mac-Cycling","Myeloid",2,0.0102868150315604
"Advanced","CCL","Mac-Cycling","Myeloid-CLEC10A-APC",7,0.129106988088738
"Early","CCL","Mac-Cycling","Myeloid-CLEC10A-APC",8,0.111706614573891
"Non-malignant","CCL","Mac-Cycling","Myeloid-CLEC10A-APC",4,0.0315471175993127
"Advanced","CCL","Mac-FOLR2-LYVE1-resident","B cell_plasma",1,0.000661331295933451
"Early","CCL","Mac-FOLR2-LYVE1-resident","B cell_plasma",1,0.00376639997601496
"Advanced","CCL","Mac-FOLR2-LYVE1-resident","C6-SLC2A1-like",3,0.132631419964755
"Early","CCL","Mac-FOLR2-LYVE1-resident","C6-SLC2A1-like",4,0.105884822736955
"Non-malignant","CCL","Mac-FOLR2-LYVE1-resident","C6-SLC2A1-like",4,0.0974888184650967
"Advanced","CCL","Mac-FOLR2-LYVE1-resident","C7-APOBEC3A-like",3,0.144759872699723
"Early","CCL","Mac-FOLR2-LYVE1-resident","C7-APOBEC3A-like",4,0.125145919654229
"Non-malignant","CCL","Mac-FOLR2-LYVE1-resident","C7-APOBEC3A-like",5,0.103377802777635
"Early","CCL","Mac-FOLR2-LYVE1-resident","Cell cycle cell",4,0.0485083397452771
"Advanced","CCL","Mac-FOLR2-LYVE1-resident","Endothelia",2,0.0109127413879906
"Early","CCL","Mac-FOLR2-LYVE1-resident","Endothelia",1,0.0118588450728375
"Non-malignant","CCL","Mac-FOLR2-LYVE1-resident","Endothelia",1,0.0171313457189618
"Advanced","CCL","Mac-FOLR2-LYVE1-resident","Mac-Cycling",3,0.0719757720329826
"Early","CCL","Mac-FOLR2-LYVE1-resident","Mac-Cycling",2,0.0678828012053434
"Non-malignant","CCL","Mac-FOLR2-LYVE1-resident","Mac-Cycling",2,0.0347920062680891
"Advanced","CCL","Mac-FOLR2-LYVE1-resident","Mac-FOLR2-LYVE1-resident",3,0.0528263582455341
"Early","CCL","Mac-FOLR2-LYVE1-resident","Mac-FOLR2-LYVE1-resident",2,0.0304688214246167
"Non-malignant","CCL","Mac-FOLR2-LYVE1-resident","Mac-FOLR2-LYVE1-resident",2,0.0697737951887635
"Advanced","CCL","Mac-FOLR2-LYVE1-resident","Mac-OLFML3-CX3CR1-resident",3,0.0729880650535187
"Early","CCL","Mac-FOLR2-LYVE1-resident","Mac-OLFML3-CX3CR1-resident",2,0.0289567755854302
"Non-malignant","CCL","Mac-FOLR2-LYVE1-resident","Mac-OLFML3-CX3CR1-resident",4,0.0568596724203723
"Non-malignant","CCL","Mac-FOLR2-LYVE1-resident","Mac-TNF-CCL4-inflammatory",2,0.011508834507705
"Advanced","CCL","Mac-FOLR2-LYVE1-resident","Mono-FCN1-S100A8-S100A9",4,0.0668268070577752
"Early","CCL","Mac-FOLR2-LYVE1-resident","Mono-FCN1-S100A8-S100A9",3,0.051353966351396
"Non-malignant","CCL","Mac-FOLR2-LYVE1-resident","Mono-FCN1-S100A8-S100A9",2,0.0252705538886457
"Non-malignant","CCL","Mac-FOLR2-LYVE1-resident","Myeloid",2,0.011104238713525
"Advanced","CCL","Mac-FOLR2-LYVE1-resident","Myeloid-CLEC10A-APC",7,0.116826032283185
