"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.03892515985277e-84,1.71921058190412,0.851,0.819,2.31898484930737e-80,"COX7C"
1.55795687060739e-84,4.84740941986952,0.359,0.025,3.47751553088275e-80,"DCK"
2.61256343654563e-84,2.9155623411003,0.761,0.567,5.8315028467135e-80,"MYL12B"
3.06909271744882e-84,-2.18942991568598,0.194,0.814,6.85052185461751e-80,"MYDGF"
4.6504365870394e-84,-2.86636433841246,0.05,0.65,1.03802395059307e-79,"SIL1"
4.40532374600488e-83,4.76364858650398,0.422,0.058,9.8331231334575e-79,"LBH"
4.68395138020303e-83,-2.44290673483262,0.095,0.714,1.04550478757512e-78,"TXNDC11"
5.95468798335384e-83,2.6886399695483,0.772,0.569,1.32914590476441e-78,"YWHAZ"
6.40828881940053e-83,-2.11731092667283,0.117,0.754,1.43039414737839e-78,"HDLBP"
2.80490509975172e-82,5.04022775838127,0.445,0.074,6.26082867315582e-78,"LYL1"
5.45592664705148e-82,-2.52982109361851,0.052,0.641,1.21781738688836e-77,"ELL2"
9.10388118017426e-82,5.24732335196183,0.384,0.041,2.0320773182267e-77,"BCL2A1"
3.79375771937758e-81,-2.3502779288667,0.05,0.637,8.4680466054227e-77,"CREB3L2"
5.21787642973318e-81,2.32465461892572,0.799,0.651,1.16468219788074e-76,"CCNI"
6.55173281108867e-81,-1.63255236301028,0.318,0.897,1.4624122807631e-76,"SPCS3"
1.0311344027518e-80,-1.90985174234191,0.106,0.733,2.30159510038228e-76,"DNAJC1"
1.98223099986854e-80,5.86338119285719,0.325,0.017,4.42453781480657e-76,"PAX5"
3.96589456290923e-80,1.98955075721347,0.847,0.792,8.8522732538697e-76,"HSP90AB1"
9.02724460615658e-80,-4.41636515290335,0.023,0.571,2.01497126854021e-75,"ERN1"
1.26146459375637e-79,2.61643059060514,0.752,0.496,2.81571511972358e-75,"SF1"
1.38659205677766e-79,-5.03752384449978,0.009,0.548,3.09501212993341e-75,"SPAG4"
2.06728941293492e-79,6.68656958921212,0.309,0.014,4.61439669861202e-75,"ARHGAP24"
3.57832602002279e-79,6.08585070210781,0.316,0.016,7.98718150929287e-75,"CCR6"
6.95074806730181e-79,-3.15821468012163,0.043,0.608,1.55147647610244e-74,"TRIB1"
3.52997403484102e-78,-2.41849912819285,0.147,0.753,7.87925504316863e-74,"PIM2"
3.55385944356167e-78,-5.39718337492702,0.007,0.538,7.932569663974e-74,"TXNDC5"
5.21297535981027e-78,3.02204469760545,0.709,0.434,1.16358823006325e-73,"ARL6IP5"
3.57676016275475e-77,3.15624586794924,0.7,0.425,7.98368635928487e-73,"TPM3"
1.43968782747428e-76,-1.66117932940023,0.363,0.886,3.21352719970534e-72,"SELENOK"
2.19206779732031e-76,7.55860652757349,0.278,0.006,4.89291453039867e-72,"CCR7"
4.40342281364632e-76,2.67445024103708,0.752,0.565,9.82888006233994e-72,"RAC2"
