"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Myeloid","Mac-Cycling","HLA-DRB1","CD4",0.101521941011985,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid-CLEC10A-APC","Mac-Cycling","HLA-DRB1","CD4",0.0838358655966433,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Other T","Mac-Cycling","HLA-DRB1","CD4",0.0331191080501427,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"B cell_plasma","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.0402683360249687,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C6-SLC2A1-like","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.0988498869206489,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"C7-APOBEC3A-like","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.144010867265947,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"CD8 T","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.0505797936475661,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Cell cycle cell","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.0674590774415497,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Epithelia","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.0224555212450673,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-Cycling","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.118537944457765,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-FOLR2-LYVE1-resident","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.129117349610584,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-NUPR1-IGF2-stress","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.0957552289966735,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-OLFML3-CX3CR1-resident","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.151050876686661,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mac-TNF-CCL4-inflammatory","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.0864579816807991,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Mono-FCN1-S100A8-S100A9","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.101702871941857,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.140509652174763,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Myeloid-CLEC10A-APC","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.116915370585724,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
"Other T","Mac-FOLR2-LYVE1-resident","HLA-DRB1","CD4",0.0472184484256968,0,"HLA-DRB1_CD4","HLA-DRB1 - CD4","MHC-II","Cell-Cell Contact","KEGG: hsa04514"
